LocationType,Location,Race,TimeFrame,DataFormat,Income
County,Pend Oreille,American Indian and Alaska Native,2005-2009,Currency,43886
County,Pend Oreille,American Indian and Alaska Native,2006-2010,Currency,"*$44,458"
County,Pend Oreille,American Indian and Alaska Native,2007-2011,Currency,"*$51,563"
County,Pend Oreille,American Indian and Alaska Native,2008-2012,Currency,"*$51,053"
County,Pend Oreille,American Indian and Alaska Native,2009-2013,Currency,"*$50,469"
County,Pend Oreille,American Indian and Alaska Native,2010-2014,Currency,28188
County,Pend Oreille,American Indian and Alaska Native,2011-2015,Currency,35833
County,Pend Oreille,American Indian and Alaska Native,2012-2016,Currency,45469
County,Pend Oreille,American Indian and Alaska Native,2013-2017,Currency,42109
County,Pend Oreille,American Indian and Alaska Native,2014-2018,Currency,42583
County,Pend Oreille,American Indian and Alaska Native,2015-2019,Currency,62763
County,Pierce,American Indian and Alaska Native,2005-2009,Currency,53026
County,Pierce,American Indian and Alaska Native,2006-2010,Currency,"*$57,958"
County,Pierce,American Indian and Alaska Native,2007-2011,Currency,"*$56,823"
County,Pierce,American Indian and Alaska Native,2008-2012,Currency,"*$54,784"
County,Pierce,American Indian and Alaska Native,2009-2013,Currency,"*$55,682"
County,Pierce,American Indian and Alaska Native,2010-2014,Currency,52976
County,Pierce,American Indian and Alaska Native,2011-2015,Currency,54302
County,Pierce,American Indian and Alaska Native,2012-2016,Currency,56091
County,Pierce,American Indian and Alaska Native,2013-2017,Currency,59000
County,Pierce,American Indian and Alaska Native,2014-2018,Currency,62676
County,Pierce,American Indian and Alaska Native,2015-2019,Currency,65824
County,San Juan,American Indian and Alaska Native,2005-2009,Currency,"*$38,750"
County,San Juan,American Indian and Alaska Native,2006-2010,Currency,"*$37,500"
County,San Juan,American Indian and Alaska Native,2007-2011,Currency,NA
County,San Juan,American Indian and Alaska Native,2008-2012,Currency,NA
County,San Juan,American Indian and Alaska Native,2009-2013,Currency,NA
County,San Juan,American Indian and Alaska Native,2010-2014,Currency,81000
County,San Juan,American Indian and Alaska Native,2011-2015,Currency,80833
County,San Juan,American Indian and Alaska Native,2012-2016,Currency,81250
County,San Juan,American Indian and Alaska Native,2013-2017,Currency,83646
